Sensor Name,X,Y,US AQI,PM2.5 (ug/m^3)
Multinational Village,121.001488,14.486208,9,6.4
Unioil EDSA-Guadalupe 2,121.025319,14.476359,9,6
"Calzada, Taguig",121.075798,14.535405,8,5.3
Forbestown Road,121.04438,14.549864,6,4.3
North Forbes Park,121.035596,14.553975,6,4
Dasmarinas Village,121.030732,14.56628,3,2
"Unioil Cainta, Ortigas Ext.",121.125296,14.582285,7,5
"Wack Wack Greenhills, Mandaluyong",121.055805,14.589982,24,17.1
Unioil Katipunan,121.07171,14.618226,21,15
"Madison Street, Greenhills",121.041592,14.602639,46,32
Unioil F. Blumentritt,121.026652,14.6021,51,36
Unioil Quezon Avenue,121.005395,14.621559,71,52
National Children's Hospital,121.020429,14.620702,39,27
Unioil West Avenue,121.027586,14.644702,51,36
"Unioil Barangka, Marikina",121.08334,14.632716,9,6
"Unioil Conception, Marikina",121.106615,14.650524,20,14
